iter	Logloss
0	0.6261474597
1	0.565380983
2	0.5163229517
3	0.4752768163
4	0.4415047633
5	0.4135971363
6	0.3874657206
7	0.3662817374
8	0.3482751585
9	0.3306141541
10	0.3163234883
11	0.3041959093
12	0.2933402154
13	0.2838217567
14	0.2753678283
15	0.2682903574
16	0.2614327166
17	0.2550825445
18	0.2505798229
19	0.2459590413
20	0.2406351464
21	0.2369686279
22	0.232750547
23	0.2285793455
24	0.2253749221
25	0.22247057
26	0.2189434661
27	0.215826317
28	0.2141303428
29	0.2120998428
30	0.2101265472
31	0.2079572417
32	0.2055666107
33	0.2042029133
34	0.2029271755
35	0.2016588091
36	0.2002087417
37	0.1985865011
38	0.1969376483
39	0.1952250483
40	0.1940487694
41	0.192859265
42	0.1918134298
43	0.1908792306
44	0.189887457
45	0.188757101
46	0.1879505321
47	0.1870132862
48	0.185934468
49	0.1847518026
50	0.184221516
51	0.1832705202
52	0.1822989767
53	0.1811144763
54	0.1804693892
55	0.1796700217
56	0.1786113603
57	0.17783323
58	0.1771595065
59	0.1766915882
60	0.1757644912
61	0.1752465726
62	0.1746872878
63	0.1739732242
64	0.1730245955
65	0.1722031336
66	0.1717947434
67	0.1711226315
68	0.1706864407
69	0.1702763483
70	0.1697795231
71	0.1693042336
72	0.1690337261
73	0.1684297809
74	0.1679304909
75	0.1675377795
76	0.1668918304
77	0.1663063216
78	0.165799511
79	0.1651929788
80	0.1647242721
81	0.1644665949
82	0.1642090583
83	0.1637477302
84	0.1634582694
85	0.1630026211
86	0.1628319914
87	0.1625655632
88	0.1621948627
89	0.1616626119
90	0.1613594607
91	0.1609759374
92	0.1606196194
93	0.1601314542
94	0.1597591472
95	0.1594456948
96	0.1591396742
97	0.1588924143
98	0.1585110339
99	0.1582596933
100	0.1579779711
101	0.1578082872
102	0.1575074424
103	0.1570639838
104	0.1567911398
105	0.156600873
106	0.1562125894
107	0.1558987336
108	0.155495773
109	0.1552857408
110	0.1549167894
111	0.1545446737
112	0.1541265005
113	0.1536732294
114	0.1533887042
115	0.1530650279
116	0.152677776
117	0.1524292129
118	0.1520395679
119	0.1517519549
120	0.1512654553
121	0.1509811604
122	0.1508202778
123	0.1503876877
124	0.1500203544
125	0.1497241228
126	0.1495675452
127	0.1492844087
128	0.1488576245
129	0.1483892799
130	0.1482260714
131	0.1478595097
132	0.1474984724
133	0.1472658862
134	0.1470505935
135	0.1467659296
136	0.1465580326
137	0.1462426486
138	0.1460968939
139	0.1457963225
140	0.1454868525
141	0.1452556708
142	0.144987195
143	0.1448363135
144	0.1445783038
145	0.1443704149
146	0.1442021493
147	0.144106616
148	0.1438441749
149	0.1434786596
150	0.1430499042
151	0.142888512
152	0.142624251
153	0.1423599979
154	0.1420262635
155	0.1417035078
156	0.1414708592
157	0.1411865498
158	0.1410862164
159	0.1408117166
160	0.1406514089
161	0.1403610079
162	0.1402410476
163	0.1399788558
164	0.1398275511
165	0.1396931938
166	0.1394288221
167	0.1391085332
168	0.1388925118
169	0.1386663645
170	0.13841202
171	0.1381973088
172	0.1380304783
173	0.1378997685
174	0.137657551
175	0.1373596741
176	0.1371911905
177	0.136904783
178	0.1366289399
179	0.1364272896
180	0.13629813
181	0.1360853094
182	0.1358497621
183	0.1356843045
184	0.1356256906
185	0.1352164511
186	0.1348556614
187	0.134672937
188	0.1343963715
189	0.1341974815
190	0.1339582896
191	0.133670931
192	0.1335834184
193	0.1333256441
194	0.1331076324
195	0.1329056967
196	0.1327040702
197	0.1325101504
198	0.1322992898
199	0.1321157029
200	0.131887592
201	0.1316024972
202	0.1313466123
203	0.1311414017
204	0.1308110455
205	0.1305426783
206	0.1302595841
207	0.1299840763
208	0.129655203
209	0.1294061586
210	0.1292504356
211	0.1290383721
212	0.128801603
213	0.1284918132
214	0.1283206789
215	0.128143651
216	0.1279160574
217	0.1277082992
218	0.1275132796
219	0.1273441961
220	0.1272344714
221	0.1270198541
222	0.126820972
223	0.1266989932
224	0.1263920255
225	0.1261662656
226	0.1258672838
227	0.1256070215
228	0.1253139827
229	0.1250725275
230	0.1249530851
231	0.1247519693
232	0.1246639303
233	0.1244534715
234	0.124223573
235	0.1240720782
236	0.1239245934
237	0.1237986929
238	0.1236499626
239	0.1235185278
240	0.1234426677
241	0.1232395488
242	0.1229948438
243	0.1228343271
244	0.1227442875
245	0.1225757955
246	0.1223799885
247	0.122249541
248	0.1220479778
249	0.1218500921
250	0.1215419637
251	0.1213467581
252	0.1211875012
253	0.1210046538
254	0.1208325092
255	0.1207105681
256	0.1204927802
257	0.1204090978
258	0.1202258821
259	0.1198802519
260	0.1198218107
261	0.1195566267
262	0.1194135643
263	0.1193058612
264	0.1190336233
265	0.1189330328
266	0.1187541571
267	0.1185490713
268	0.1183752447
269	0.1180979665
270	0.1178795188
271	0.1177503082
272	0.1175331719
273	0.1174781652
274	0.1173992766
275	0.117244858
276	0.1170422488
277	0.1168610137
278	0.1167409492
279	0.1165070189
280	0.1164577347
281	0.1161731671
282	0.1159965602
283	0.1158950201
284	0.1157198487
285	0.1155590448
286	0.1153567044
287	0.1152455327
288	0.1150554073
289	0.1148500353
290	0.1146297877
291	0.1145249299
292	0.1143389108
293	0.1141720237
294	0.1140132781
295	0.1138455697
296	0.1137378384
297	0.1135540807
298	0.1133462307
299	0.1131771469
300	0.1130298926
301	0.112880053
302	0.1127175327
303	0.1125879304
304	0.1124966574
305	0.1122971363
306	0.1120674226
307	0.1119122069
308	0.1117541681
309	0.1116267675
310	0.1114710886
311	0.1113697599
312	0.1111881968
313	0.1110242236
314	0.1109010318
315	0.1106915475
316	0.1105734346
317	0.1103717047
318	0.1102796669
319	0.1101862773
320	0.1100763381
321	0.1099138143
322	0.1098545659
323	0.1096497293
324	0.1094801272
325	0.1092978446
326	0.1091775177
327	0.1090080826
328	0.1089149803
329	0.1088033374
330	0.1086551944
331	0.1084829947
332	0.1084619151
333	0.1083704466
334	0.1081900283
335	0.1080874322
336	0.1079217072
337	0.1078114494
338	0.1076583014
339	0.1075532581
340	0.1074410905
341	0.1073154872
342	0.1072406942
343	0.1071240981
344	0.1069975605
345	0.1069449959
346	0.1068014281
347	0.1067090249
348	0.1065658197
349	0.1063770156
350	0.106223574
351	0.1060709107
352	0.1059410163
353	0.1058496552
354	0.105734948
355	0.1056322576
356	0.1055860987
357	0.1053822673
358	0.1052403408
359	0.1051402561
360	0.104982047
361	0.1049061014
362	0.104806266
363	0.1046699721
364	0.1044907268
365	0.1044098023
366	0.1043283153
367	0.104238618
368	0.1041137078
369	0.1039723013
370	0.1038036007
371	0.1037072076
372	0.1036869297
373	0.1036154274
374	0.1035737503
375	0.1034361974
376	0.1033844598
377	0.1032340647
378	0.1032204949
379	0.1030982995
380	0.1030460699
381	0.102873258
382	0.1027883926
383	0.1026726002
384	0.1025143806
385	0.1024081549
386	0.1022685929
387	0.1022559896
388	0.1021491196
389	0.1020781253
390	0.1019412717
391	0.1017826085
392	0.1016703919
393	0.101513679
394	0.1014081911
395	0.1013109812
396	0.1011692803
397	0.1010455698
398	0.1009184821
399	0.1007623538
400	0.1006757447
401	0.1006016209
402	0.1004391736
403	0.1003402145
404	0.100169378
405	0.1000346503
406	0.09988953573
407	0.09973644809
408	0.09966080576
409	0.09959155988
410	0.09947010731
411	0.09935494129
412	0.09926574905
413	0.09915740107
414	0.09905787891
415	0.09892661886
416	0.09886394558
417	0.09875989845
418	0.09874928242
419	0.09865032465
420	0.09855042403
421	0.09844592804
422	0.09833543258
423	0.09820105424
424	0.09806354628
425	0.09797237682
426	0.09786958585
427	0.09776823967
428	0.09771981862
429	0.09762544056
430	0.09750322937
431	0.09741024382
432	0.09733027721
433	0.09732056334
434	0.09718260435
435	0.09713277148
436	0.09703614313
437	0.09695079873
438	0.09685699408
439	0.09673747204
440	0.09660266434
441	0.09658825258
442	0.09650400717
443	0.09639239532
444	0.09626696071
445	0.09607878752
446	0.09598902624
447	0.09585382088
448	0.09583777663
449	0.09578362256
450	0.09571063439
451	0.09559419958
452	0.09548540784
453	0.09535028857
454	0.09529115202
455	0.09523482749
456	0.09510394155
457	0.09497767598
458	0.0949690015
459	0.09486755776
460	0.094772758
461	0.09462777993
462	0.09456262873
463	0.09445620472
464	0.09444171136
465	0.09435515929
466	0.09422214519
467	0.09409992578
468	0.09403280094
469	0.09396027961
470	0.09388022783
471	0.09387267324
472	0.09382550375
473	0.09376104551
474	0.09367107522
475	0.09359630962
476	0.09353889454
477	0.09341377685
478	0.09333277624
479	0.09327499846
480	0.09324457577
481	0.09314609336
482	0.09309508325
483	0.09295458137
484	0.09291053978
485	0.09288064219
486	0.09277251826
487	0.09270834069
488	0.09266028779
489	0.09264750005
490	0.09257089012
491	0.09254964616
492	0.09241684729
493	0.09240412927
494	0.09230710564
495	0.09224631435
496	0.09212629227
497	0.09203812956
498	0.0919608282
499	0.09193848514
500	0.09189126692
501	0.09180130791
502	0.09166914623
503	0.09155832658
504	0.09149855906
505	0.09138225286
506	0.09126838009
507	0.0911749311
508	0.09104791066
509	0.09096070746
510	0.09085918218
511	0.09075172438
512	0.09060969351
513	0.09052227357
514	0.09041889662
515	0.09030131296
516	0.09023464575
517	0.09011632532
518	0.09009583446
519	0.09004307013
520	0.08996109804
521	0.08987458467
522	0.08978117359
523	0.08969542392
524	0.08968373933
525	0.08960837215
526	0.08950112957
527	0.08942636328
528	0.08934377884
529	0.08925911127
530	0.08917928308
531	0.08910430889
532	0.08901372593
533	0.08886701815
534	0.08874984359
535	0.08866814576
536	0.08860209279
537	0.08853672781
538	0.08841458168
539	0.08830216298
540	0.08829152378
541	0.08819376944
542	0.08812688419
543	0.08802783893
544	0.08794747724
545	0.08784317159
546	0.08774933866
547	0.08760776803
548	0.08751764593
549	0.08743056854
550	0.08736683166
551	0.08728909772
552	0.08718988727
553	0.08710004833
554	0.0869879435
555	0.0869256708
556	0.0868413267
557	0.08673269304
558	0.08663737898
559	0.08656397136
560	0.08644964503
561	0.08637044163
562	0.08631641835
563	0.08622380282
564	0.0861059632
565	0.08603925061
566	0.08592103748
567	0.08589044616
568	0.0857904544
569	0.08570572515
570	0.08564006539
571	0.08554228932
572	0.08550176072
573	0.0854445546
574	0.08542351809
575	0.08538702685
576	0.08527567551
577	0.08518989172
578	0.08516331392
579	0.08509773896
580	0.0850485636
581	0.0849697147
582	0.08493715213
583	0.08490407233
584	0.08482687778
585	0.08475889311
586	0.08466492673
587	0.08459840126
588	0.08449268673
589	0.08441760796
590	0.08435399379
591	0.08432699239
592	0.08425562186
593	0.08419279816
594	0.08410947684
595	0.08398996529
596	0.08390427619
597	0.0838208186
598	0.08372332731
599	0.08363565117
600	0.08356602863
601	0.08345867948
602	0.08336473083
603	0.08328717919
604	0.08320124164
605	0.08311628012
606	0.08303547472
607	0.08293089189
608	0.08284426736
609	0.08273388728
610	0.08264373854
611	0.08254335985
612	0.08251976047
613	0.08251111011
614	0.08242083689
615	0.08235820876
616	0.08232045353
617	0.08224963247
618	0.08216681362
619	0.08210320436
620	0.08202827863
621	0.08191237803
622	0.08189441289
623	0.08183965963
624	0.08176294116
625	0.08168679183
626	0.08167223191
627	0.08158824128
628	0.08152239882
629	0.08146044433
630	0.0813887427
631	0.08131833956
632	0.08113913301
633	0.08111653493
634	0.08105907805
635	0.08096216732
636	0.08094738664
637	0.08082093101
638	0.08076119181
639	0.08071974
640	0.08069495876
641	0.08061790787
642	0.08060427873
643	0.08053700702
644	0.08048768264
645	0.08043853755
646	0.08036551859
647	0.08028320761
648	0.0801936256
649	0.08014082793
650	0.08004396037
651	0.07996689346
652	0.07986632572
653	0.07978654551
654	0.07971443666
655	0.07964481421
656	0.0795697016
657	0.0795072907
658	0.07949165365
659	0.07942455531
660	0.07936051996
661	0.07927548256
662	0.07921282248
663	0.07913626869
664	0.07907588589
665	0.07896757817
666	0.07883897375
667	0.07876962733
668	0.07866322857
669	0.07860170066
670	0.07854008564
671	0.07846735354
672	0.07838086756
673	0.07833080693
674	0.07827891277
675	0.07823025204
676	0.07819975673
677	0.07816583058
678	0.07813477557
679	0.07807514891
680	0.07798680504
681	0.07795921729
682	0.07788938956
683	0.07784158317
684	0.07781388234
685	0.07773543675
686	0.07772204265
687	0.07763048727
688	0.07756299842
689	0.07748587295
690	0.07746668877
691	0.0774062193
692	0.07732557105
693	0.07728631303
694	0.07720798071
695	0.07717236067
696	0.07712090036
697	0.07706443032
698	0.07696466809
699	0.07684426027
700	0.076788131
701	0.07675947575
702	0.07671106895
703	0.07665181539
704	0.07660190923
705	0.07655146969
706	0.07649952846
707	0.07640842067
708	0.07635916018
709	0.0762787016
710	0.07621248548
711	0.07614254409
712	0.07604130136
713	0.07594774654
714	0.07590771892
715	0.07584782602
716	0.07576759717
717	0.07573681505
718	0.07568793116
719	0.07564133134
720	0.07558068439
721	0.0755133868
722	0.07544278292
723	0.07539998262
724	0.07533131051
725	0.07528794412
726	0.07520714695
727	0.07515821713
728	0.07509874759
729	0.07503986362
730	0.07496618711
731	0.07488332581
732	0.07481126984
733	0.07477576252
734	0.07472174925
735	0.07459421091
736	0.07458224462
737	0.07451842688
738	0.07449880686
739	0.07442073627
740	0.07433388988
741	0.07426309302
742	0.07419931763
743	0.07414059914
744	0.07411194955
745	0.07401794762
746	0.0739425258
747	0.07385270814
748	0.0737923156
749	0.07370358894
750	0.07364472038
751	0.07358666109
752	0.0735452437
753	0.07352217215
754	0.07346467709
755	0.07339647173
756	0.07335435443
757	0.07329795332
758	0.07322738821
759	0.07316184455
760	0.07310450822
761	0.0730634476
762	0.07300500863
763	0.07296828478
764	0.07290902993
765	0.07284329823
766	0.07280398488
767	0.07278300282
768	0.07271594476
769	0.07266390666
770	0.07258572825
771	0.07252330064
772	0.07245320331
773	0.07238444818
774	0.07231799884
775	0.07230719976
776	0.07225976284
777	0.0721783477
778	0.07213235012
779	0.07208016597
780	0.07201371635
781	0.07192662518
782	0.07188728228
783	0.07185693502
784	0.07177898996
785	0.0717651846
786	0.07175536776
787	0.07171014642
788	0.07164173408
789	0.07154784107
790	0.07147890893
791	0.07143490714
792	0.07137973132
793	0.07135828631
794	0.07129820202
795	0.07125626583
796	0.07120785599
797	0.07115982573
798	0.07110141117
799	0.07108517876
800	0.07107065653
801	0.07101562645
802	0.07099741717
803	0.07095962143
804	0.07086936732
805	0.07080191033
806	0.07077240617
807	0.07072088439
808	0.07067040156
809	0.07061114376
810	0.07056681818
811	0.07049232897
812	0.07040403336
813	0.07028644496
814	0.07018929851
815	0.0700987066
816	0.0700352298
817	0.07001453811
818	0.06996528311
819	0.06992854855
820	0.06987926001
821	0.06980393184
822	0.06975134114
823	0.0696885614
824	0.06961484344
825	0.06954924178
826	0.06952035344
827	0.06950734115
828	0.06945316273
829	0.06941415972
830	0.06937285888
831	0.06933800292
832	0.06928536942
833	0.0692150986
834	0.06919588713
835	0.06916910499
836	0.06909814056
837	0.06905911552
838	0.06901723095
839	0.0689847784
840	0.06896437014
841	0.06891936665
842	0.06890862698
843	0.06888365943
844	0.06883382456
845	0.06878827864
846	0.06873661286
847	0.06868845409
848	0.06863067796
849	0.06856503431
850	0.06853333895
851	0.06846875745
852	0.0684454453
853	0.0684016698
854	0.06838558396
855	0.06834692531
856	0.06827737782
857	0.06821855099
858	0.06817436386
859	0.06811613053
860	0.06807501501
861	0.06802060739
862	0.06799769132
863	0.06793281039
864	0.06788669172
865	0.06781477077
866	0.06780103199
867	0.06774591257
868	0.06769183269
869	0.06767831466
870	0.06760822186
871	0.06753984149
872	0.06750696882
873	0.06746071938
874	0.06741392083
875	0.06740570773
876	0.06735388134
877	0.06731226016
878	0.06730711146
879	0.06727086601
880	0.06723879308
881	0.06718680985
882	0.06712776067
883	0.06707658422
884	0.06704999325
885	0.06702541885
886	0.06697694572
887	0.06692480025
888	0.06686836286
889	0.0668432686
890	0.06676712411
891	0.0667236491
892	0.06668069418
893	0.06663107542
894	0.06654202078
895	0.06652150588
896	0.06647297146
897	0.06642235612
898	0.06637402924
899	0.06633726382
900	0.0663296813
901	0.06628772934
902	0.06622788626
903	0.06617652843
904	0.06611164267
905	0.06604667242
906	0.06599260301
907	0.06594724265
908	0.06592399991
909	0.0658761799
910	0.06579791845
911	0.06575896369
912	0.06570253597
913	0.06565944162
914	0.06564491409
915	0.06564101951
916	0.06558147424
917	0.06551889156
918	0.0654700948
919	0.06540976857
920	0.06536985323
921	0.06531076864
922	0.06530330483
923	0.06527099498
924	0.0652091407
925	0.06518416305
926	0.06517019547
927	0.06511331233
928	0.06507497459
929	0.06504142874
930	0.06501244028
931	0.06496539437
932	0.06490408008
933	0.06486200513
934	0.064804539
935	0.06477763058
936	0.06471379845
937	0.06463666659
938	0.06461493434
939	0.06457564459
940	0.06456492944
941	0.0645442076
942	0.06453517951
943	0.06447380375
944	0.06440623508
945	0.06436811125
946	0.06433550959
947	0.06429910564
948	0.06424694277
949	0.06424395475
950	0.06420635597
951	0.06414746294
952	0.06410932849
953	0.06404994656
954	0.06404993825
955	0.06400615563
956	0.06395444644
957	0.06394607874
958	0.06392809769
959	0.06386748447
960	0.06382825821
961	0.06382165959
962	0.06375090903
963	0.06369423284
964	0.06366087425
965	0.06360703861
966	0.06356589411
967	0.06355094167
968	0.06354484423
969	0.06350537781
970	0.06346881567
971	0.06344467126
972	0.06340737482
973	0.06337425984
974	0.0633167372
975	0.06328730392
976	0.0632528051
977	0.06321638035
978	0.06315424141
979	0.06310665848
980	0.06306775833
981	0.06303701273
982	0.06296052749
983	0.06292265863
984	0.06289999951
985	0.06285793296
986	0.06281150276
987	0.06273724962
988	0.06270387755
989	0.06266564679
990	0.06261105611
991	0.06253596076
992	0.06251050284
993	0.06247076576
994	0.06242756943
995	0.06237893584
996	0.06233597302
997	0.06229232808
998	0.06226253377
999	0.06222504831
