iter	Passed	Remaining
0	5	5432
1	10	5250
2	15	5042
3	20	5036
4	25	5149
5	30	5053
6	35	4970
7	39	4906
8	45	4995
9	50	5024
10	55	4991
11	60	4990
12	65	5010
13	71	5018
14	76	5025
15	82	5044
16	123	7154
17	134	7318
18	146	7572
19	152	7459
20	156	7314
21	162	7203
22	167	7101
23	172	7006
24	177	6937
25	182	6844
26	187	6770
27	193	6732
28	198	6660
29	204	6599
30	209	6541
31	213	6463
32	218	6412
33	223	6357
34	228	6312
35	234	6269
36	239	6221
37	244	6180
38	249	6136
39	253	6093
40	258	6053
41	263	6018
42	268	5981
43	273	5952
44	279	5923
45	283	5885
46	288	5858
47	293	5824
48	298	5794
49	303	5764
50	308	5741
51	313	5721
52	318	5697
53	324	5679
54	329	5664
55	335	5650
56	340	5630
57	345	5604
58	354	5653
59	360	5647
60	365	5625
61	370	5604
62	375	5584
63	380	5571
64	385	5550
65	391	5542
66	396	5526
67	401	5507
68	406	5490
69	412	5480
70	417	5462
71	422	5449
72	427	5432
73	434	5431
74	439	5420
75	444	5407
76	449	5393
77	455	5378
78	459	5359
79	465	5350
80	470	5335
81	475	5319
82	480	5308
83	485	5290
84	490	5276
85	495	5264
86	500	5248
87	505	5234
88	509	5218
89	515	5208
90	520	5197
91	524	5176
92	530	5170
93	534	5154
94	539	5143
95	545	5135
96	550	5123
97	554	5107
98	559	5095
99	564	5079
100	569	5069
101	574	5055
102	579	5045
103	584	5036
104	589	5022
105	596	5032
106	601	5022
107	606	5011
108	611	5001
109	616	4987
110	621	4974
111	626	4964
112	631	4953
113	635	4940
114	640	4926
115	644	4914
116	649	4904
117	654	4894
118	659	4882
119	664	4874
120	669	4862
121	674	4852
122	679	4843
123	683	4832
124	688	4822
125	693	4813
126	698	4802
127	703	4792
128	708	4782
129	713	4773
130	718	4765
131	722	4754
132	728	4748
133	732	4736
134	737	4727
135	743	4722
136	748	4712
137	752	4702
138	757	4693
139	762	4684
140	767	4677
141	772	4668
142	777	4659
143	782	4650
144	786	4640
145	791	4630
146	796	4619
147	800	4608
148	805	4600
149	810	4592
150	814	4582
151	819	4570
152	824	4563
153	829	4555
154	833	4545
155	838	4534
156	842	4522
157	852	4542
158	857	4533
159	862	4526
160	866	4516
161	871	4508
162	876	4502
163	881	4493
164	885	4483
165	890	4471
166	894	4462
167	899	4452
168	903	4444
169	908	4435
170	912	4425
171	917	4415
172	921	4406
173	926	4400
174	931	4389
175	935	4380
176	939	4369
177	944	4362
178	948	4352
179	953	4342
180	958	4335
181	962	4327
182	967	4318
183	971	4310
184	976	4302
185	980	4293
186	985	4285
187	991	4281
188	995	4273
189	1000	4266
190	1006	4261
191	1011	4254
192	1015	4247
193	1021	4243
194	1026	4238
195	1031	4231
196	1037	4227
197	1041	4219
198	1046	4213
199	1052	4208
